CMDLINE /home/ryan/docker_build/mandarin3d_slicing/venv/bin/python3 app.py
MEM 92.089844 1708955237.0610
MEM 92.089844 1708955237.1614
MEM 92.089844 1708955237.2618
MEM 92.089844 1708955237.3623
MEM 92.089844 1708955237.4627
MEM 92.089844 1708955237.5631
MEM 92.089844 1708955237.6635
MEM 92.089844 1708955237.7640
MEM 92.089844 1708955237.8646
MEM 92.089844 1708955237.9651
MEM 92.089844 1708955238.0655
MEM 92.089844 1708955238.1659
MEM 92.089844 1708955238.2664
MEM 92.089844 1708955238.3669
MEM 92.089844 1708955238.4673
MEM 92.089844 1708955238.5677
MEM 92.089844 1708955238.6680
MEM 92.089844 1708955238.7684
MEM 92.089844 1708955238.8689
MEM 92.089844 1708955238.9693
MEM 92.089844 1708955239.0698
MEM 92.089844 1708955239.1703
MEM 92.089844 1708955239.2707
MEM 92.089844 1708955239.3711
MEM 92.089844 1708955239.4715
MEM 92.089844 1708955239.5719
MEM 92.089844 1708955239.6723
MEM 92.089844 1708955239.7727
MEM 92.089844 1708955239.8732
MEM 92.089844 1708955239.9736
MEM 92.089844 1708955240.0742
MEM 92.089844 1708955240.1746
MEM 92.089844 1708955240.2750
MEM 92.089844 1708955240.3755
MEM 92.089844 1708955240.4758
MEM 92.089844 1708955240.5763
MEM 92.089844 1708955240.6767
MEM 92.089844 1708955240.7772
MEM 92.089844 1708955240.8778
MEM 92.089844 1708955240.9783
MEM 92.089844 1708955241.0798
MEM 92.089844 1708955241.1804
MEM 92.089844 1708955241.2809
MEM 92.089844 1708955241.3817
MEM 92.089844 1708955241.4821
MEM 92.089844 1708955241.5826
MEM 92.089844 1708955241.6830
MEM 92.089844 1708955241.7836
MEM 92.089844 1708955241.8842
MEM 92.089844 1708955241.9847
MEM 92.089844 1708955242.0851
MEM 92.089844 1708955242.1855
MEM 92.089844 1708955242.2860
MEM 92.089844 1708955242.3865
MEM 92.089844 1708955242.4870
MEM 92.089844 1708955242.5874
MEM 92.089844 1708955242.6878
MEM 92.089844 1708955242.7883
MEM 92.089844 1708955242.8889
MEM 92.089844 1708955242.9894
MEM 92.089844 1708955243.0899
MEM 92.089844 1708955243.1903
MEM 92.089844 1708955243.2908
MEM 92.089844 1708955243.3911
MEM 92.089844 1708955243.4915
MEM 92.089844 1708955243.5920
MEM 92.089844 1708955243.6923
MEM 92.089844 1708955243.7929
MEM 92.089844 1708955243.8935
MEM 92.089844 1708955243.9939
MEM 92.089844 1708955244.0943
MEM 92.089844 1708955244.1948
MEM 92.089844 1708955244.2952
MEM 92.089844 1708955244.3956
MEM 92.089844 1708955244.4960
MEM 92.089844 1708955244.5963
MEM 92.089844 1708955244.6968
MEM 92.089844 1708955244.7971
MEM 92.089844 1708955244.8977
MEM 92.089844 1708955244.9980
MEM 92.089844 1708955245.0985
MEM 92.089844 1708955245.1989
MEM 92.089844 1708955245.2993
MEM 92.089844 1708955245.3997
MEM 92.089844 1708955245.5002
MEM 92.089844 1708955245.6006
MEM 92.089844 1708955245.7010
MEM 92.089844 1708955245.8015
MEM 92.089844 1708955245.9020
MEM 92.089844 1708955246.0025
MEM 92.089844 1708955246.1030
MEM 92.089844 1708955246.2036
